,job_title,skills_required,posting_date,month
255,ai product manager,c++,2023-12-26,2023-12
255,ai product manager,scikit-learn,2023-12-26,2023-12
255,ai product manager,pytorch,2023-12-26,2023-12
255,ai product manager,pandas,2023-12-26,2023-12
255,ai product manager,flask,2023-12-26,2023-12
256,quant researcher,hugging face,2023-12-26,2023-12
256,quant researcher,gcp,2023-12-26,2023-12
256,quant researcher,keras,2023-12-26,2023-12
257,ml engineer,hugging face,2023-12-27,2023-12
257,ml engineer,python,2023-12-27,2023-12
257,ml engineer,pandas,2023-12-27,2023-12
258,data scientist,hugging face,2023-12-27,2023-12
258,data scientist,r,2023-12-27,2023-12
258,data scientist,tensorflow,2023-12-27,2023-12
258,data scientist,mlflow,2023-12-27,2023-12
258,data scientist,numpy,2023-12-27,2023-12
259,nlp engineer,langchain,2023-12-27,2023-12
259,nlp engineer,pytorch,2023-12-27,2023-12
259,nlp engineer,tensorflow,2023-12-27,2023-12
259,nlp engineer,gcp,2023-12-27,2023-12
260,ai product manager,c++,2023-12-28,2023-12
260,ai product manager,langchain,2023-12-28,2023-12
260,ai product manager,numpy,2023-12-28,2023-12
260,ai product manager,azure,2023-12-28,2023-12
260,ai product manager,mlflow,2023-12-28,2023-12
261,nlp engineer,r,2023-12-28,2023-12
261,nlp engineer,mlflow,2023-12-28,2023-12
261,nlp engineer,power bi,2023-12-28,2023-12
261,nlp engineer,sql,2023-12-28,2023-12
261,nlp engineer,fastapi,2023-12-28,2023-12
262,quant researcher,langchain,2023-12-28,2023-12
262,quant researcher,numpy,2023-12-28,2023-12
262,quant researcher,cuda,2023-12-28,2023-12
262,quant researcher,c++,2023-12-28,2023-12
262,quant researcher,mlflow,2023-12-28,2023-12
262,quant researcher,r,2023-12-28,2023-12
263,nlp engineer,reinforcement learning,2023-12-28,2023-12
263,nlp engineer,sql,2023-12-28,2023-12
263,nlp engineer,c++,2023-12-28,2023-12
263,nlp engineer,pandas,2023-12-28,2023-12
264,data analyst,cuda,2023-12-28,2023-12
264,data analyst,numpy,2023-12-28,2023-12
264,data analyst,keras,2023-12-28,2023-12
265,ml engineer,python,2023-12-29,2023-12
265,ml engineer,langchain,2023-12-29,2023-12
265,ml engineer,sql,2023-12-29,2023-12
265,ml engineer,aws,2023-12-29,2023-12
265,ml engineer,gcp,2023-12-29,2023-12
265,ml engineer,power bi,2023-12-29,2023-12
266,computer vision engineer,langchain,2023-12-29,2023-12
266,computer vision engineer,azure,2023-12-29,2023-12
266,computer vision engineer,gcp,2023-12-29,2023-12
266,computer vision engineer,python,2023-12-29,2023-12
266,computer vision engineer,r,2023-12-29,2023-12
266,computer vision engineer,c++,2023-12-29,2023-12
267,ml engineer,flask,2023-12-30,2023-12
267,ml engineer,sql,2023-12-30,2023-12
267,ml engineer,pytorch,2023-12-30,2023-12
267,ml engineer,c++,2023-12-30,2023-12
267,ml engineer,tensorflow,2023-12-30,2023-12
268,computer vision engineer,azure,2023-12-30,2023-12
268,computer vision engineer,power bi,2023-12-30,2023-12
268,computer vision engineer,flask,2023-12-30,2023-12
269,computer vision engineer,numpy,2023-12-30,2023-12
269,computer vision engineer,r,2023-12-30,2023-12
269,computer vision engineer,aws,2023-12-30,2023-12
269,computer vision engineer,tensorflow,2023-12-30,2023-12
270,ai researcher,tensorflow,2023-12-31,2023-12
270,ai researcher,python,2023-12-31,2023-12
270,ai researcher,reinforcement learning,2023-12-31,2023-12
271,data scientist,power bi,2024-01-01,2024-01
271,data scientist,azure,2024-01-01,2024-01
271,data scientist,sql,2024-01-01,2024-01
271,data scientist,c++,2024-01-01,2024-01
271,data scientist,hugging face,2024-01-01,2024-01
272,ai researcher,pandas,2024-01-01,2024-01
272,ai researcher,gcp,2024-01-01,2024-01
272,ai researcher,cuda,2024-01-01,2024-01
272,ai researcher,numpy,2024-01-01,2024-01
272,ai researcher,aws,2024-01-01,2024-01
273,nlp engineer,fastapi,2024-01-01,2024-01
273,nlp engineer,cuda,2024-01-01,2024-01
273,nlp engineer,c++,2024-01-01,2024-01
273,nlp engineer,flask,2024-01-01,2024-01
273,nlp engineer,mlflow,2024-01-01,2024-01
273,nlp engineer,python,2024-01-01,2024-01
274,nlp engineer,python,2024-01-01,2024-01
274,nlp engineer,power bi,2024-01-01,2024-01
274,nlp engineer,pandas,2024-01-01,2024-01
274,nlp engineer,mlflow,2024-01-01,2024-01
274,nlp engineer,keras,2024-01-01,2024-01
274,nlp engineer,scikit-learn,2024-01-01,2024-01
275,computer vision engineer,keras,2024-01-01,2024-01
275,computer vision engineer,scikit-learn,2024-01-01,2024-01
275,computer vision engineer,pandas,2024-01-01,2024-01
275,computer vision engineer,python,2024-01-01,2024-01
275,computer vision engineer,fastapi,2024-01-01,2024-01
276,data scientist,pandas,2024-01-02,2024-01
276,data scientist,fastapi,2024-01-02,2024-01
276,data scientist,hugging face,2024-01-02,2024-01
277,ml engineer,python,2024-01-02,2024-01
277,ml engineer,pytorch,2024-01-02,2024-01
277,ml engineer,excel,2024-01-02,2024-01
278,ai product manager,azure,2024-01-02,2024-01
278,ai product manager,reinforcement learning,2024-01-02,2024-01
278,ai product manager,excel,2024-01-02,2024-01
278,ai product manager,sql,2024-01-02,2024-01
279,ai researcher,aws,2024-01-02,2024-01
279,ai researcher,numpy,2024-01-02,2024-01
279,ai researcher,tensorflow,2024-01-02,2024-01
279,ai researcher,hugging face,2024-01-02,2024-01
279,ai researcher,cuda,2024-01-02,2024-01
279,ai researcher,power bi,2024-01-02,2024-01
280,nlp engineer,python,2024-01-03,2024-01
280,nlp engineer,aws,2024-01-03,2024-01
280,nlp engineer,numpy,2024-01-03,2024-01
280,nlp engineer,power bi,2024-01-03,2024-01
280,nlp engineer,hugging face,2024-01-03,2024-01
281,quant researcher,numpy,2024-01-03,2024-01
281,quant researcher,gcp,2024-01-03,2024-01
281,quant researcher,flask,2024-01-03,2024-01
281,quant researcher,tensorflow,2024-01-03,2024-01
282,ai researcher,mlflow,2024-01-03,2024-01
282,ai researcher,aws,2024-01-03,2024-01
282,ai researcher,sql,2024-01-03,2024-01
282,ai researcher,python,2024-01-03,2024-01
283,data analyst,reinforcement learning,2024-01-04,2024-01
283,data analyst,hugging face,2024-01-04,2024-01
283,data analyst,mlflow,2024-01-04,2024-01
283,data analyst,cuda,2024-01-04,2024-01
284,ai researcher,keras,2024-01-04,2024-01
284,ai researcher,numpy,2024-01-04,2024-01
284,ai researcher,python,2024-01-04,2024-01
284,ai researcher,aws,2024-01-04,2024-01
284,ai researcher,flask,2024-01-04,2024-01
284,ai researcher,azure,2024-01-04,2024-01
285,ai product manager,pandas,2024-01-05,2024-01
285,ai product manager,tensorflow,2024-01-05,2024-01
285,ai product manager,numpy,2024-01-05,2024-01
286,nlp engineer,aws,2024-01-05,2024-01
286,nlp engineer,sql,2024-01-05,2024-01
286,nlp engineer,gcp,2024-01-05,2024-01
286,nlp engineer,numpy,2024-01-05,2024-01
286,nlp engineer,cuda,2024-01-05,2024-01
286,nlp engineer,azure,2024-01-05,2024-01
287,data scientist,python,2024-01-05,2024-01
287,data scientist,numpy,2024-01-05,2024-01
287,data scientist,langchain,2024-01-05,2024-01
287,data scientist,excel,2024-01-05,2024-01
288,computer vision engineer,reinforcement learning,2024-01-05,2024-01
288,computer vision engineer,r,2024-01-05,2024-01
288,computer vision engineer,c++,2024-01-05,2024-01
289,data scientist,numpy,2024-01-05,2024-01
289,data scientist,tensorflow,2024-01-05,2024-01
289,data scientist,gcp,2024-01-05,2024-01
289,data scientist,langchain,2024-01-05,2024-01
290,computer vision engineer,azure,2024-01-05,2024-01
290,computer vision engineer,cuda,2024-01-05,2024-01
290,computer vision engineer,langchain,2024-01-05,2024-01
290,computer vision engineer,hugging face,2024-01-05,2024-01
291,quant researcher,keras,2024-01-06,2024-01
291,quant researcher,sql,2024-01-06,2024-01
291,quant researcher,pytorch,2024-01-06,2024-01
291,quant researcher,python,2024-01-06,2024-01
291,quant researcher,pandas,2024-01-06,2024-01
291,quant researcher,azure,2024-01-06,2024-01
292,computer vision engineer,mlflow,2024-01-06,2024-01
292,computer vision engineer,pandas,2024-01-06,2024-01
292,computer vision engineer,scikit-learn,2024-01-06,2024-01
292,computer vision engineer,aws,2024-01-06,2024-01
292,computer vision engineer,flask,2024-01-06,2024-01
292,computer vision engineer,fastapi,2024-01-06,2024-01
293,data analyst,reinforcement learning,2024-01-06,2024-01
293,data analyst,c++,2024-01-06,2024-01
293,data analyst,mlflow,2024-01-06,2024-01
294,quant researcher,cuda,2024-01-07,2024-01
294,quant researcher,excel,2024-01-07,2024-01
294,quant researcher,azure,2024-01-07,2024-01
294,quant researcher,numpy,2024-01-07,2024-01
295,nlp engineer,azure,2024-01-07,2024-01
295,nlp engineer,pytorch,2024-01-07,2024-01
295,nlp engineer,langchain,2024-01-07,2024-01
296,data scientist,aws,2024-01-08,2024-01
296,data scientist,flask,2024-01-08,2024-01
296,data scientist,reinforcement learning,2024-01-08,2024-01
296,data scientist,langchain,2024-01-08,2024-01
296,data scientist,r,2024-01-08,2024-01
297,nlp engineer,azure,2024-01-08,2024-01
297,nlp engineer,numpy,2024-01-08,2024-01
297,nlp engineer,langchain,2024-01-08,2024-01
297,nlp engineer,fastapi,2024-01-08,2024-01
297,nlp engineer,hugging face,2024-01-08,2024-01
297,nlp engineer,keras,2024-01-08,2024-01
298,data analyst,r,2024-01-09,2024-01
298,data analyst,numpy,2024-01-09,2024-01
298,data analyst,pytorch,2024-01-09,2024-01
299,ai product manager,numpy,2024-01-09,2024-01
299,ai product manager,reinforcement learning,2024-01-09,2024-01
299,ai product manager,azure,2024-01-09,2024-01
299,ai product manager,c++,2024-01-09,2024-01
299,ai product manager,r,2024-01-09,2024-01
300,quant researcher,reinforcement learning,2024-01-09,2024-01
300,quant researcher,excel,2024-01-09,2024-01
300,quant researcher,tensorflow,2024-01-09,2024-01
300,quant researcher,aws,2024-01-09,2024-01
300,quant researcher,c++,2024-01-09,2024-01
301,data scientist,keras,2024-01-10,2024-01
301,data scientist,mlflow,2024-01-10,2024-01
301,data scientist,reinforcement learning,2024-01-10,2024-01
302,data analyst,pandas,2024-01-11,2024-01
302,data analyst,excel,2024-01-11,2024-01
302,data analyst,fastapi,2024-01-11,2024-01
302,data analyst,reinforcement learning,2024-01-11,2024-01
302,data analyst,langchain,2024-01-11,2024-01
303,data scientist,gcp,2024-01-11,2024-01
303,data scientist,langchain,2024-01-11,2024-01
303,data scientist,scikit-learn,2024-01-11,2024-01
303,data scientist,numpy,2024-01-11,2024-01
303,data scientist,pandas,2024-01-11,2024-01
304,quant researcher,aws,2024-01-11,2024-01
304,quant researcher,power bi,2024-01-11,2024-01
304,quant researcher,mlflow,2024-01-11,2024-01
304,quant researcher,python,2024-01-11,2024-01
304,quant researcher,gcp,2024-01-11,2024-01
305,ai researcher,pytorch,2024-01-12,2024-01
305,ai researcher,keras,2024-01-12,2024-01
305,ai researcher,r,2024-01-12,2024-01
305,ai researcher,sql,2024-01-12,2024-01
305,ai researcher,reinforcement learning,2024-01-12,2024-01
305,ai researcher,excel,2024-01-12,2024-01
306,data scientist,scikit-learn,2024-01-13,2024-01
306,data scientist,power bi,2024-01-13,2024-01
306,data scientist,pytorch,2024-01-13,2024-01
306,data scientist,sql,2024-01-13,2024-01
306,data scientist,excel,2024-01-13,2024-01
306,data scientist,aws,2024-01-13,2024-01
307,computer vision engineer,azure,2024-01-13,2024-01
307,computer vision engineer,flask,2024-01-13,2024-01
307,computer vision engineer,pytorch,2024-01-13,2024-01
307,computer vision engineer,c++,2024-01-13,2024-01
307,computer vision engineer,gcp,2024-01-13,2024-01
307,computer vision engineer,pandas,2024-01-13,2024-01
308,ai researcher,numpy,2024-01-13,2024-01
308,ai researcher,reinforcement learning,2024-01-13,2024-01
308,ai researcher,aws,2024-01-13,2024-01
308,ai researcher,power bi,2024-01-13,2024-01
308,ai researcher,pytorch,2024-01-13,2024-01
308,ai researcher,sql,2024-01-13,2024-01
309,data analyst,r,2024-01-14,2024-01
309,data analyst,c++,2024-01-14,2024-01
309,data analyst,gcp,2024-01-14,2024-01
309,data analyst,hugging face,2024-01-14,2024-01
309,data analyst,langchain,2024-01-14,2024-01
309,data analyst,tensorflow,2024-01-14,2024-01
310,nlp engineer,langchain,2024-01-14,2024-01
310,nlp engineer,aws,2024-01-14,2024-01
310,nlp engineer,r,2024-01-14,2024-01
311,nlp engineer,c++,2024-01-14,2024-01
311,nlp engineer,cuda,2024-01-14,2024-01
311,nlp engineer,power bi,2024-01-14,2024-01
311,nlp engineer,tensorflow,2024-01-14,2024-01
312,computer vision engineer,tensorflow,2024-01-14,2024-01
312,computer vision engineer,hugging face,2024-01-14,2024-01
312,computer vision engineer,pandas,2024-01-14,2024-01
312,computer vision engineer,flask,2024-01-14,2024-01
312,computer vision engineer,reinforcement learning,2024-01-14,2024-01
312,computer vision engineer,keras,2024-01-14,2024-01
313,ml engineer,r,2024-01-14,2024-01
313,ml engineer,c++,2024-01-14,2024-01
313,ml engineer,fastapi,2024-01-14,2024-01
313,ml engineer,excel,2024-01-14,2024-01
314,data analyst,pytorch,2024-01-14,2024-01
314,data analyst,tensorflow,2024-01-14,2024-01
314,data analyst,azure,2024-01-14,2024-01
314,data analyst,excel,2024-01-14,2024-01
314,data analyst,gcp,2024-01-14,2024-01
315,ai product manager,azure,2024-01-14,2024-01
315,ai product manager,hugging face,2024-01-14,2024-01
315,ai product manager,c++,2024-01-14,2024-01
315,ai product manager,scikit-learn,2024-01-14,2024-01
315,ai product manager,flask,2024-01-14,2024-01
315,ai product manager,pandas,2024-01-14,2024-01
316,quant researcher,pytorch,2024-01-14,2024-01
316,quant researcher,cuda,2024-01-14,2024-01
316,quant researcher,aws,2024-01-14,2024-01
316,quant researcher,reinforcement learning,2024-01-14,2024-01
317,data analyst,reinforcement learning,2024-01-15,2024-01
317,data analyst,flask,2024-01-15,2024-01
317,data analyst,cuda,2024-01-15,2024-01
318,ml engineer,numpy,2024-01-15,2024-01
318,ml engineer,pandas,2024-01-15,2024-01
318,ml engineer,sql,2024-01-15,2024-01
318,ml engineer,gcp,2024-01-15,2024-01
318,ml engineer,fastapi,2024-01-15,2024-01
319,data analyst,sql,2024-01-15,2024-01
319,data analyst,scikit-learn,2024-01-15,2024-01
319,data analyst,fastapi,2024-01-15,2024-01
319,data analyst,gcp,2024-01-15,2024-01
320,quant researcher,sql,2024-01-15,2024-01
320,quant researcher,fastapi,2024-01-15,2024-01
320,quant researcher,numpy,2024-01-15,2024-01
320,quant researcher,tensorflow,2024-01-15,2024-01
320,quant researcher,keras,2024-01-15,2024-01
320,quant researcher,reinforcement learning,2024-01-15,2024-01
321,ai researcher,python,2024-01-16,2024-01
321,ai researcher,r,2024-01-16,2024-01
321,ai researcher,reinforcement learning,2024-01-16,2024-01
321,ai researcher,azure,2024-01-16,2024-01
322,nlp engineer,hugging face,2024-01-16,2024-01
322,nlp engineer,r,2024-01-16,2024-01
322,nlp engineer,azure,2024-01-16,2024-01
322,nlp engineer,power bi,2024-01-16,2024-01
322,nlp engineer,excel,2024-01-16,2024-01
323,ai product manager,fastapi,2024-01-16,2024-01
323,ai product manager,numpy,2024-01-16,2024-01
323,ai product manager,c++,2024-01-16,2024-01
323,ai product manager,mlflow,2024-01-16,2024-01
323,ai product manager,gcp,2024-01-16,2024-01
324,ai product manager,langchain,2024-01-16,2024-01
324,ai product manager,flask,2024-01-16,2024-01
324,ai product manager,pytorch,2024-01-16,2024-01
324,ai product manager,python,2024-01-16,2024-01
325,data scientist,aws,2024-01-17,2024-01
325,data scientist,gcp,2024-01-17,2024-01
325,data scientist,pytorch,2024-01-17,2024-01
325,data scientist,keras,2024-01-17,2024-01
325,data scientist,tensorflow,2024-01-17,2024-01
326,nlp engineer,power bi,2024-01-17,2024-01
326,nlp engineer,c++,2024-01-17,2024-01
326,nlp engineer,r,2024-01-17,2024-01
327,ml engineer,gcp,2024-01-17,2024-01
327,ml engineer,pandas,2024-01-17,2024-01
327,ml engineer,python,2024-01-17,2024-01
328,ai product manager,flask,2024-01-18,2024-01
328,ai product manager,tensorflow,2024-01-18,2024-01
328,ai product manager,python,2024-01-18,2024-01
328,ai product manager,r,2024-01-18,2024-01
328,ai product manager,azure,2024-01-18,2024-01
328,ai product manager,sql,2024-01-18,2024-01
329,quant researcher,c++,2024-01-19,2024-01
329,quant researcher,power bi,2024-01-19,2024-01
329,quant researcher,r,2024-01-19,2024-01
329,quant researcher,sql,2024-01-19,2024-01
329,quant researcher,keras,2024-01-19,2024-01
329,quant researcher,azure,2024-01-19,2024-01
330,nlp engineer,fastapi,2024-01-19,2024-01
330,nlp engineer,excel,2024-01-19,2024-01
330,nlp engineer,tensorflow,2024-01-19,2024-01
331,data scientist,power bi,2024-01-19,2024-01
331,data scientist,gcp,2024-01-19,2024-01
331,data scientist,reinforcement learning,2024-01-19,2024-01
332,computer vision engineer,flask,2024-01-19,2024-01
332,computer vision engineer,excel,2024-01-19,2024-01
332,computer vision engineer,pytorch,2024-01-19,2024-01
332,computer vision engineer,scikit-learn,2024-01-19,2024-01
332,computer vision engineer,fastapi,2024-01-19,2024-01
332,computer vision engineer,keras,2024-01-19,2024-01
333,ml engineer,fastapi,2024-01-19,2024-01
333,ml engineer,azure,2024-01-19,2024-01
333,ml engineer,pandas,2024-01-19,2024-01
333,ml engineer,keras,2024-01-19,2024-01
334,ai researcher,fastapi,2024-01-19,2024-01
334,ai researcher,flask,2024-01-19,2024-01
334,ai researcher,power bi,2024-01-19,2024-01
334,ai researcher,reinforcement learning,2024-01-19,2024-01
334,ai researcher,pytorch,2024-01-19,2024-01
335,quant researcher,scikit-learn,2024-01-20,2024-01
335,quant researcher,keras,2024-01-20,2024-01
335,quant researcher,pandas,2024-01-20,2024-01
336,ai researcher,excel,2024-01-20,2024-01
336,ai researcher,cuda,2024-01-20,2024-01
336,ai researcher,pandas,2024-01-20,2024-01
337,computer vision engineer,flask,2024-01-20,2024-01
337,computer vision engineer,tensorflow,2024-01-20,2024-01
337,computer vision engineer,sql,2024-01-20,2024-01
337,computer vision engineer,pandas,2024-01-20,2024-01
338,data scientist,langchain,2024-01-21,2024-01
338,data scientist,numpy,2024-01-21,2024-01
338,data scientist,pandas,2024-01-21,2024-01
338,data scientist,azure,2024-01-21,2024-01
338,data scientist,scikit-learn,2024-01-21,2024-01
338,data scientist,hugging face,2024-01-21,2024-01
339,ai product manager,mlflow,2024-01-21,2024-01
339,ai product manager,scikit-learn,2024-01-21,2024-01
339,ai product manager,python,2024-01-21,2024-01
339,ai product manager,reinforcement learning,2024-01-21,2024-01
339,ai product manager,c++,2024-01-21,2024-01
340,ml engineer,tensorflow,2024-01-21,2024-01
340,ml engineer,azure,2024-01-21,2024-01
340,ml engineer,langchain,2024-01-21,2024-01
340,ml engineer,flask,2024-01-21,2024-01
340,ml engineer,excel,2024-01-21,2024-01
341,ai researcher,numpy,2024-01-21,2024-01
341,ai researcher,langchain,2024-01-21,2024-01
341,ai researcher,mlflow,2024-01-21,2024-01
341,ai researcher,cuda,2024-01-21,2024-01
341,ai researcher,tensorflow,2024-01-21,2024-01
342,data scientist,excel,2024-01-22,2024-01
342,data scientist,pandas,2024-01-22,2024-01
342,data scientist,sql,2024-01-22,2024-01
342,data scientist,r,2024-01-22,2024-01
342,data scientist,azure,2024-01-22,2024-01
343,ml engineer,tensorflow,2024-01-22,2024-01
343,ml engineer,langchain,2024-01-22,2024-01
343,ml engineer,keras,2024-01-22,2024-01
343,ml engineer,scikit-learn,2024-01-22,2024-01
343,ml engineer,excel,2024-01-22,2024-01
343,ml engineer,c++,2024-01-22,2024-01
344,ai product manager,pytorch,2024-01-23,2024-01
344,ai product manager,reinforcement learning,2024-01-23,2024-01
344,ai product manager,excel,2024-01-23,2024-01
345,computer vision engineer,aws,2024-01-23,2024-01
345,computer vision engineer,power bi,2024-01-23,2024-01
345,computer vision engineer,tensorflow,2024-01-23,2024-01
345,computer vision engineer,sql,2024-01-23,2024-01
346,computer vision engineer,azure,2024-01-24,2024-01
346,computer vision engineer,r,2024-01-24,2024-01
346,computer vision engineer,mlflow,2024-01-24,2024-01
346,computer vision engineer,tensorflow,2024-01-24,2024-01
347,ai researcher,tensorflow,2024-01-24,2024-01
347,ai researcher,gcp,2024-01-24,2024-01
347,ai researcher,python,2024-01-24,2024-01
348,nlp engineer,langchain,2024-01-24,2024-01
348,nlp engineer,gcp,2024-01-24,2024-01
348,nlp engineer,reinforcement learning,2024-01-24,2024-01
348,nlp engineer,excel,2024-01-24,2024-01
348,nlp engineer,fastapi,2024-01-24,2024-01
348,nlp engineer,power bi,2024-01-24,2024-01
349,data analyst,aws,2024-01-24,2024-01
349,data analyst,tensorflow,2024-01-24,2024-01
349,data analyst,excel,2024-01-24,2024-01
349,data analyst,sql,2024-01-24,2024-01
349,data analyst,gcp,2024-01-24,2024-01
350,ai product manager,reinforcement learning,2024-01-25,2024-01
350,ai product manager,cuda,2024-01-25,2024-01
350,ai product manager,numpy,2024-01-25,2024-01
351,data scientist,flask,2024-01-25,2024-01
351,data scientist,gcp,2024-01-25,2024-01
351,data scientist,mlflow,2024-01-25,2024-01
351,data scientist,keras,2024-01-25,2024-01
351,data scientist,cuda,2024-01-25,2024-01
351,data scientist,aws,2024-01-25,2024-01
352,ml engineer,mlflow,2024-01-25,2024-01
352,ml engineer,gcp,2024-01-25,2024-01
352,ml engineer,python,2024-01-25,2024-01
352,ml engineer,r,2024-01-25,2024-01
352,ml engineer,tensorflow,2024-01-25,2024-01
353,ai researcher,pandas,2024-01-25,2024-01
353,ai researcher,cuda,2024-01-25,2024-01
353,ai researcher,pytorch,2024-01-25,2024-01
354,nlp engineer,gcp,2024-01-26,2024-01
354,nlp engineer,excel,2024-01-26,2024-01
354,nlp engineer,numpy,2024-01-26,2024-01
354,nlp engineer,azure,2024-01-26,2024-01
354,nlp engineer,r,2024-01-26,2024-01
354,nlp engineer,pandas,2024-01-26,2024-01
355,quant researcher,flask,2024-01-27,2024-01
355,quant researcher,langchain,2024-01-27,2024-01
355,quant researcher,c++,2024-01-27,2024-01
356,data analyst,power bi,2024-01-27,2024-01
356,data analyst,cuda,2024-01-27,2024-01
356,data analyst,pandas,2024-01-27,2024-01
357,data scientist,langchain,2024-01-27,2024-01
357,data scientist,pandas,2024-01-27,2024-01
357,data scientist,scikit-learn,2024-01-27,2024-01
357,data scientist,mlflow,2024-01-27,2024-01
357,data scientist,c++,2024-01-27,2024-01
358,nlp engineer,power bi,2024-01-28,2024-01
358,nlp engineer,excel,2024-01-28,2024-01
358,nlp engineer,scikit-learn,2024-01-28,2024-01
358,nlp engineer,hugging face,2024-01-28,2024-01
358,nlp engineer,fastapi,2024-01-28,2024-01
359,quant researcher,tensorflow,2024-01-28,2024-01
359,quant researcher,power bi,2024-01-28,2024-01
359,quant researcher,azure,2024-01-28,2024-01
359,quant researcher,flask,2024-01-28,2024-01
359,quant researcher,reinforcement learning,2024-01-28,2024-01
359,quant researcher,r,2024-01-28,2024-01
360,nlp engineer,reinforcement learning,2024-01-28,2024-01
360,nlp engineer,tensorflow,2024-01-28,2024-01
360,nlp engineer,pandas,2024-01-28,2024-01
360,nlp engineer,fastapi,2024-01-28,2024-01
361,data scientist,c++,2024-01-29,2024-01
361,data scientist,langchain,2024-01-29,2024-01
361,data scientist,azure,2024-01-29,2024-01
361,data scientist,keras,2024-01-29,2024-01
362,ai researcher,sql,2024-01-29,2024-01
362,ai researcher,excel,2024-01-29,2024-01
362,ai researcher,aws,2024-01-29,2024-01
362,ai researcher,mlflow,2024-01-29,2024-01
362,ai researcher,tensorflow,2024-01-29,2024-01
362,ai researcher,fastapi,2024-01-29,2024-01
363,ai product manager,scikit-learn,2024-01-29,2024-01
363,ai product manager,langchain,2024-01-29,2024-01
363,ai product manager,mlflow,2024-01-29,2024-01
363,ai product manager,flask,2024-01-29,2024-01
364,ml engineer,gcp,2024-01-30,2024-01
364,ml engineer,hugging face,2024-01-30,2024-01
364,ml engineer,mlflow,2024-01-30,2024-01
365,data scientist,tensorflow,2024-01-31,2024-01
365,data scientist,cuda,2024-01-31,2024-01
365,data scientist,reinforcement learning,2024-01-31,2024-01
365,data scientist,flask,2024-01-31,2024-01
365,data scientist,r,2024-01-31,2024-01
366,computer vision engineer,flask,2024-01-31,2024-01
366,computer vision engineer,r,2024-01-31,2024-01
366,computer vision engineer,excel,2024-01-31,2024-01
367,quant researcher,excel,2024-01-31,2024-01
367,quant researcher,langchain,2024-01-31,2024-01
367,quant researcher,fastapi,2024-01-31,2024-01
367,quant researcher,sql,2024-01-31,2024-01
367,quant researcher,azure,2024-01-31,2024-01
367,quant researcher,keras,2024-01-31,2024-01
368,data analyst,keras,2024-02-01,2024-02
368,data analyst,c++,2024-02-01,2024-02
368,data analyst,scikit-learn,2024-02-01,2024-02
368,data analyst,flask,2024-02-01,2024-02
368,data analyst,pytorch,2024-02-01,2024-02
368,data analyst,pandas,2024-02-01,2024-02
369,quant researcher,pandas,2024-02-01,2024-02
369,quant researcher,fastapi,2024-02-01,2024-02
369,quant researcher,pytorch,2024-02-01,2024-02
369,quant researcher,cuda,2024-02-01,2024-02
369,quant researcher,azure,2024-02-01,2024-02
370,ai researcher,c++,2024-02-01,2024-02
370,ai researcher,r,2024-02-01,2024-02
370,ai researcher,cuda,2024-02-01,2024-02
370,ai researcher,pandas,2024-02-01,2024-02
370,ai researcher,azure,2024-02-01,2024-02
371,computer vision engineer,pandas,2024-02-01,2024-02
371,computer vision engineer,scikit-learn,2024-02-01,2024-02
371,computer vision engineer,excel,2024-02-01,2024-02
371,computer vision engineer,tensorflow,2024-02-01,2024-02
371,computer vision engineer,gcp,2024-02-01,2024-02
372,ai product manager,tensorflow,2024-02-01,2024-02
372,ai product manager,flask,2024-02-01,2024-02
372,ai product manager,gcp,2024-02-01,2024-02
372,ai product manager,pandas,2024-02-01,2024-02
373,quant researcher,r,2024-02-02,2024-02
373,quant researcher,sql,2024-02-02,2024-02
373,quant researcher,cuda,2024-02-02,2024-02
373,quant researcher,keras,2024-02-02,2024-02
373,quant researcher,aws,2024-02-02,2024-02
373,quant researcher,power bi,2024-02-02,2024-02
374,data analyst,excel,2024-02-02,2024-02
374,data analyst,power bi,2024-02-02,2024-02
374,data analyst,pytorch,2024-02-02,2024-02
374,data analyst,hugging face,2024-02-02,2024-02
374,data analyst,r,2024-02-02,2024-02
375,ai researcher,numpy,2024-02-02,2024-02
375,ai researcher,pytorch,2024-02-02,2024-02
375,ai researcher,c++,2024-02-02,2024-02
375,ai researcher,r,2024-02-02,2024-02
375,ai researcher,azure,2024-02-02,2024-02
376,ai product manager,tensorflow,2024-02-02,2024-02
376,ai product manager,power bi,2024-02-02,2024-02
376,ai product manager,reinforcement learning,2024-02-02,2024-02
376,ai product manager,numpy,2024-02-02,2024-02
376,ai product manager,cuda,2024-02-02,2024-02
376,ai product manager,excel,2024-02-02,2024-02
377,quant researcher,keras,2024-02-03,2024-02
377,quant researcher,c++,2024-02-03,2024-02
377,quant researcher,pandas,2024-02-03,2024-02
377,quant researcher,cuda,2024-02-03,2024-02
377,quant researcher,langchain,2024-02-03,2024-02
378,data scientist,aws,2024-02-03,2024-02
378,data scientist,excel,2024-02-03,2024-02
378,data scientist,pytorch,2024-02-03,2024-02
378,data scientist,r,2024-02-03,2024-02
378,data scientist,pandas,2024-02-03,2024-02
379,data analyst,sql,2024-02-03,2024-02
379,data analyst,scikit-learn,2024-02-03,2024-02
379,data analyst,tensorflow,2024-02-03,2024-02
379,data analyst,langchain,2024-02-03,2024-02
379,data analyst,r,2024-02-03,2024-02
379,data analyst,power bi,2024-02-03,2024-02
380,nlp engineer,mlflow,2024-02-04,2024-02
