role,clean_skills,count
data analyst,typescript,8
data analyst,u,14
data analyst,uber,8
data analyst,ui,1
data analyst,unit testing,4
data analyst,unix,61
data analyst,unix linux,14
data analyst,unix shell scripting,5
data analyst,unstructured data,14
data analyst,upwork,8
data analyst,urgency,5
data analyst,us citizenship,9
data analyst,usability testing,28
data analyst,user,2
data analyst,user acceptance testing,10
data analyst,user interface design,5
data analyst,user observation,10
data analyst,validation,9
data analyst,vba,213
data analyst,vendor management,6
data analyst,version control,6
data analyst,views,10
data analyst,visio,109
data analyst,vision,6
data analyst,vision insurance,8
data analyst,visual basic,14
data analyst,visual_basic,34
data analyst,visualization,34
data analyst,visualization tools,8
data analyst,visualizations,6
data analyst,vlookups,11
data analyst,vue,5
data analyst,vulnerability,6
data analyst,waterfall,5
data analyst,web analytics,10
data analyst,web development,8
data analyst,windows,15
data analyst,word,481
data analyst,word processing,5
data analyst,workday,10
data analyst,workflow,5
data analyst,workflow analysis,5
data analyst,workflows,6
data analyst,writing,18
data analyst,writing skills,12
data analyst,xml,19
data analyst,yarn,1
frontend,0,229
frontend,4,228
frontend,8,228
frontend,ada,9
frontend,agile,1
frontend,agile development,1
frontend,algorithms,1
frontend,amazon web server aws,2
frontend,analytics,2
frontend,angular,1360
frontend,angular basics,6
frontend,ansible,105
frontend,ant,56
frontend,apache kafka,51
frontend,apache spark,21
frontend,apex,14
frontend,apis,2
frontend,apl,3
frontend,apt,102
frontend,asp,387
frontend,assembly,72
frontend,bash,882
frontend,blazor,68
frontend,boost,3
frontend,bootstrap,19
frontend,browser tools,10
frontend,build2,3
frontend,bun,46
frontend,c,373
frontend,c#,737
frontend,c++,401
frontend,capacitor,153
frontend,cargo,226
frontend,catch2,4
frontend,chef,6
frontend,chemistry,1
frontend,chocolatey,264
frontend,ci cd,9
frontend,clojure,20
frontend,cmake,141
frontend,cobol,9
frontend,codeigniter,50
frontend,composer,295
frontend,computer vision,2
frontend,cordova,159
frontend,cppunit,4
frontend,crystal reports,5
frontend,css,3882
frontend,cuda,34
frontend,dagger,15
frontend,dart,265
frontend,data science,4
frontend,data structures,1
frontend,data_analysis,5
frontend,database,1
frontend,deep learning,4
frontend,delphi,37
frontend,deno,106
frontend,development,1
frontend,django,263
frontend,docker,1859
frontend,doctest,1
frontend,drupal,95
frontend,electron,345
frontend,elixir,49
frontend,elm,31
frontend,ember,6
frontend,erlang,14
frontend,evaluation,1
frontend,express,1233
frontend,f#,11
frontend,fastapi,101
frontend,fastify,96
frontend,financial modeling,1
frontend,flask,187
frontend,flow,24
frontend,flutter,333
frontend,fortran,4
frontend,foundation,6
frontend,friendly,6
frontend,gatsby,275
frontend,gdscript,50
frontend,git,22
frontend,gnu gcc,94
frontend,go,240
frontend,godot,93
frontend,google test,29
frontend,gradle,404
frontend,groovy,54
frontend,gtk,23
frontend,hadoop,12
frontend,haskell,46
frontend,homebrew,1165
frontend,html,3880
frontend,html5,5
frontend,hugging face transformers,25
frontend,ionic,252
frontend,java,789
frontend,javascript,4606
frontend,jax,4
frontend,jquery,1006
frontend,js basics,6
frontend,julia,4
frontend,keras,35
frontend,kotlin,216
frontend,ktor,11
frontend,kubernetes,399
frontend,laravel,278
frontend,learn,82
frontend,lest,3
frontend,lisp,19
frontend,lit,88
frontend,llvm's clang,53
frontend,lua,164
frontend,machine_learning,7
frontend,make,261
frontend,materialize,6
frontend,matlab,65
frontend,maven,326
frontend,meson,4
frontend,mfc,4
frontend,micronaut,3
frontend,mongodb,3
frontend,msbuild,104
frontend,msvc,36
frontend,mysql,2
frontend,nestjs,337
frontend,net,328
frontend,net 1,228
frontend,net 5+,378
frontend,net core,269
frontend,net maui,25
frontend,next,1625
frontend,nim,4
frontend,ninja,14
frontend,nix,44
frontend,node.js,2614
frontend,npm,3469
frontend,nuget,269
frontend,numpy,181
frontend,nuxt,418
frontend,objective,67
frontend,ocaml,9
frontend,opencv,78
frontend,opengl,115
frontend,pacman,118
frontend,pandas,192
frontend,performance optimization,8
frontend,perl,29
frontend,phoenix,31
frontend,php,950
frontend,pip,509
frontend,play,10
frontend,pnpm,697
frontend,podman,51
frontend,postgresql,1
frontend,power_bi,1
frontend,powershell,328
frontend,problemsolving,1
frontend,production support,1
frontend,prolog,22
frontend,pulumi,6
frontend,puppet,18
frontend,python,1079
frontend,qmake,12
frontend,qt,57
frontend,quarkus,7
frontend,qwik,43
frontend,r,53
frontend,r programming,2
frontend,rabbitmq,93
frontend,raku,3
frontend,react,3244
frontend,react basics,9
frontend,react native,610
frontend,react redux,6
frontend,redux,12
frontend,remix,148
frontend,report writing,1
frontend,requirements analysis,1
frontend,research,2
frontend,rest api,7
frontend,ruby,192
frontend,ruby on rails,141
frontend,rust,257
frontend,sas,33
frontend,sass,7
frontend,scala,24
frontend,scalability,1
frontend,scikit,82
frontend,snitch,2
frontend,software development,2
frontend,software testing,1
frontend,solid,98
frontend,solidity,59
frontend,spring,115
frontend,spring boot,175
frontend,sql,1236
frontend,svelte,404
frontend,swift,157
frontend,swiftui,114
frontend,symfony,75
frontend,tailwind css,11
frontend,tauri,74
frontend,tdd,1
frontend,tensorflow,119
frontend,terraform,134
frontend,test,3
frontend,tidyverse,4
frontend,torch pytorch,66
frontend,typescript,3428
frontend,ui,6
frontend,unit e2e testing,5
frontend,unity 3d,224
frontend,uno platform,8
frontend,unreal engine,92
frontend,user,6
frontend,ux,6
frontend,vba,55
frontend,version control,1
frontend,visual basic,90
frontend,visual studio solution,270
frontend,vite,1638
frontend,vue,1116
frontend,wasmer,14
frontend,web development,1
frontend,webpack,2385
frontend,wordpress,780
frontend,xamarin,57
frontend,yarn,2114
frontend,zig,16
